_id,issue_type,priority,components
58c8dbed1cf3f06cf159186f,Bug,Minor,[]
58c8dbef1cf3f06cf1591875,Improvement,Minor,['Core']
58c8dbf21cf3f06cf159188d,Improvement,Critical,['Core']
58c8dbf21cf3f06cf159188e,Improvement,Major,['Core']
58c8dbf51cf3f06cf15918a5,Bug,Minor,[]
58c8dbf61cf3f06cf15918a6,Bug,Major,['Core']
58c8dbf81cf3f06cf15918b2,Wish,Major,['Maven Compatibility']
58c8dbfa1cf3f06cf15918bb,Bug,Major,['Ant']
58c8dc021cf3f06cf15918e3,Bug,Major,['Maven Compatibility']
58c8dc061cf3f06cf15918f4,Wish,Minor,"['Ant', 'Core']"
58c8dc081cf3f06cf1591906,Improvement,Minor,['Ant']
58c8dc091cf3f06cf1591908,Wish,Minor,['Core']
58c8dc0b1cf3f06cf1591911,Bug,Minor,['Ant']
58c8dc0c1cf3f06cf1591919,Bug,Blocker,['Ant']
58c8dc191cf3f06cf1591997,Bug,Minor,['Core']
58c8dc1e1cf3f06cf15919e1,Bug,Major,['Core']
58c8dc1f1cf3f06cf15919f3,Bug,Major,['Ant']
58c8dc201cf3f06cf1591a00,Bug,Major,['Core']
58c8dc221cf3f06cf1591a13,Bug,Major,['Core']
58c8dc241cf3f06cf1591a35,Bug,Major,['Core']
58c8dc281cf3f06cf1591a6d,Bug,Major,['Core']
58c8dc2b1cf3f06cf1591a89,Bug,Major,['Core']
58c8dc2f1cf3f06cf1591aa5,Bug,Major,['Core']
58c8dc341cf3f06cf1591ae2,Bug,Major,['Maven Compatibility']
58c8dc361cf3f06cf1591b04,Bug,Major,['Core']
58c8dc391cf3f06cf1591b41,Bug,Major,['Maven Compatibility']
58c8dc3b1cf3f06cf1591b52,Bug,Minor,['Core']
58c8dc3d1cf3f06cf1591b82,Bug,Major,['Maven Compatibility']
58c8dc431cf3f06cf1591bef,Improvement,Major,['Ant']
58c8dc4a1cf3f06cf1591c46,Bug,Major,['Core']
58c8dc601cf3f06cf1591d33,Improvement,Minor,[]
58c8dcbc1cf3f06cf15920b6,Bug,Minor,['Documentation']
58c8dcdd1cf3f06cf15921f9,Bug,Major,[]
58c8dce01cf3f06cf1592211,Bug,Major,[]
58c8dce41cf3f06cf159222f,New Feature,Major,[]
58c8dd291cf3f06cf15924e0,Bug,Critical,['Core']
58c8dd681cf3f06cf1592769,Bug,Major,[]
58c8dd951cf3f06cf15928f8,New Feature,Minor,['Core']
58c8ddb81cf3f06cf1592a05,Bug,Major,['Core']
58bfcba90ccb2667fe26b2c4,Bug,Critical,['server']
58bfcbaf0ccb2667fe26b33e,Bug,Major,[]
58bfcbb30ccb2667fe26b38f,Improvement,Minor,"['quorum', 'server']"
58bfcbba0ccb2667fe26b3f8,Improvement,Major,['tests']
58bfcbbf0ccb2667fe26b46c,Bug,Major,[]
58bfcbc20ccb2667fe26b4bd,Bug,Critical,['leaderElection']
58bfcbc90ccb2667fe26b57a,Sub-task,Major,['contrib']
58bfcbcd0ccb2667fe26b5c8,Bug,Major,['jmx']
58bfcbd00ccb2667fe26b5e3,Bug,Minor,['c client']
58bfcbd40ccb2667fe26b612,Bug,Critical,"['leaderElection', 'server']"
58bfd1d60ccb2667fe273f4c,Bug,Critical,['c client']
58bfd39a0ccb2667fe276f79,Improvement,Major,['quorum']
58bfd3a90ccb2667fe2772b6,Improvement,Major,[]
58bfd3bc0ccb2667fe27756f,Bug,Major,"['quorum', 'server']"
58bfd3c30ccb2667fe2775f6,Bug,Major,['server']
58bfd3c80ccb2667fe277684,Improvement,Trivial,[]
58bfd3d30ccb2667fe2777af,Bug,Major,['server']
58bfd3e70ccb2667fe27786a,Bug,Critical,"['quorum', 'server']"
58bfcbd60ccb2667fe26b631,Improvement,Major,['server']
58bfcbe10ccb2667fe26b7a5,Bug,Major,['contrib-bindings']
58bfcbe60ccb2667fe26b81c,Improvement,Major,['tests']
58bfcbea0ccb2667fe26b8aa,Bug,Major,['contrib-bookkeeper']
